x_axis,strain_u1,strain_u2,strain_u3,strain_u4,strain_u5,strain_u6,strain_u7,strain_u8,strain_u9,strain_u10,strain_u11,strain_u12,strain_u13,strain_u14
-0.08939999999999948,7.0,12.2,19.3,26.7,35.1,56.5,72.0,98.5,115.7,138.9,166.4,183.5,193.8,201.0
-0.08874999999999922,8.6,13.3,19.6,26.7,34.0,56.2,74.3,99.7,118.4,143.2,164.7,185.2,193.6,202.5
-0.08809999999999985,14.0,14.1,23.5,26.2,36.1,57.0,79.3,100.3,123.7,146.1,172.7,188.7,197.6,209.4
-0.08744999999999958,12.2,14.9,19.1,23.5,40.4,55.6,76.2,100.7,128.3,143.7,174.6,186.2,198.2,209.9
-0.08679999999999932,9.7,13.3,16.8,26.2,38.5,57.6,75.3,104.0,123.5,144.0,171.9,188.1,198.1,207.7
-0.08614999999999995,11.6,17.9,23.7,30.9,40.9,62.4,82.5,108.7,127.7,149.0,175.5,193.2,202.3,211.0
-0.08549999999999969,10.2,14.9,21.5,31.0,42.6,60.1,80.9,106.7,126.8,152.3,178.0,193.9,203.1,214.2
-0.08484999999999943,8.1,13.9,17.5,29.0,41.2,59.7,81.7,105.2,127.1,151.0,176.3,190.4,199.3,212.3
-0.08420000000000005,10.2,16.3,20.6,30.5,41.8,61.3,84.7,108.8,130.9,156.2,180.0,195.0,204.9,215.2
-0.08354999999999979,8.6,15.0,20.4,23.7,42.0,61.6,81.2,108.7,130.0,153.3,181.0,196.9,203.9,216.3
-0.08289999999999953,10.0,17.2,23.8,29.5,46.2,66.6,84.6,113.8,134.9,159.2,187.1,198.9,212.3,222.6
-0.08224999999999927,9.8,16.1,21.9,31.7,44.6,64.6,86.1,115.0,135.6,161.9,188.0,200.5,210.5,224.0
-0.0815999999999999,10.3,17.1,22.9,36.5,47.2,68.2,91.6,115.8,139.8,168.6,191.5,205.8,215.0,228.5
-0.08094999999999963,12.2,16.4,22.9,34.8,48.5,68.7,96.6,119.2,141.3,169.0,193.2,208.2,219.6,231.3
-0.08029999999999937,10.2,16.1,20.0,33.8,45.5,69.7,92.8,116.9,143.9,170.8,194.5,210.5,220.8,234.7
-0.07965,12.5,19.3,28.2,36.0,53.3,73.9,98.2,120.9,147.1,171.7,202.7,215.3,227.6,240.6
-0.07899999999999974,13.9,20.3,30.0,38.2,54.5,76.6,102.4,127.5,152.8,181.5,209.6,221.8,237.5,246.6
-0.07834999999999948,13.4,17.5,29.2,38.5,50.4,74.5,102.7,126.4,152.7,181.5,205.3,225.6,236.6,244.9
-0.07769999999999921,12.7,20.1,30.6,40.4,54.8,78.1,103.7,132.4,155.8,189.3,211.0,233.3,243.0,253.4
-0.07704999999999984,10.9,17.1,23.2,38.3,53.4,77.4,103.8,133.0,154.9,187.8,214.6,236.6,242.5,255.5
-0.07639999999999958,13.6,19.0,30.2,41.4,59.2,79.8,108.5,134.3,165.6,190.0,220.5,243.7,249.2,261.0
-0.07574999999999932,17.3,20.5,32.3,43.7,57.8,84.7,113.6,138.3,169.7,196.4,227.4,244.1,253.0,263.7
-0.07509999999999994,18.5,25.0,35.0,48.1,62.8,87.8,113.0,143.6,177.2,204.5,234.3,250.2,262.7,269.8
-0.07444999999999968,14.0,22.1,31.6,46.0,61.8,85.9,113.1,141.3,174.3,205.0,232.3,254.3,262.6,271.8
-0.07379999999999942,16.4,24.3,37.0,47.0,62.9,88.4,121.3,149.6,179.6,210.1,240.8,260.3,267.6,281.6
-0.07315000000000005,14.3,24.8,33.9,44.7,62.8,92.5,121.9,152.2,177.2,209.2,243.8,261.3,270.0,282.5
-0.07249999999999979,10.7,22.0,36.4,47.2,63.6,89.8,124.2,151.4,181.9,213.6,245.6,262.9,271.1,285.3
-0.07184999999999953,13.6,21.1,36.3,49.5,67.4,89.1,123.6,152.1,184.7,217.3,249.2,265.3,277.0,290.7
-0.07119999999999926,18.5,25.8,40.4,54.4,73.9,99.9,130.8,165.6,194.1,229.9,261.5,276.8,290.3,306.1
-0.07054999999999989,15.6,26.1,38.9,55.2,70.9,104.1,131.5,166.7,193.3,232.3,265.4,280.5,298.7,310.5
-0.06989999999999963,17.4,25.7,41.5,52.3,69.2,100.8,134.5,166.4,199.1,233.0,262.5,285.9,300.6,314.2
-0.06924999999999937,17.5,26.0,40.5,53.1,72.9,103.8,135.9,167.7,201.9,238.6,268.0,291.8,299.6,313.9
-0.0686,11.3,23.1,37.7,53.4,74.8,104.9,135.9,172.6,204.1,241.6,272.6,295.4,308.3,320.3
-0.06794999999999973,13.9,26.8,41.5,56.2,75.1,109.9,142.0,177.4,209.8,245.6,280.1,298.1,311.3,326.2
-0.06729999999999947,17.8,29.3,43.1,60.3,83.4,112.6,144.8,182.2,213.8,252.0,285.4,305.5,317.6,333.4
-0.06664999999999921,17.3,27.7,44.3,61.3,81.2,113.6,145.2,182.6,216.5,255.2,283.6,307.0,319.9,331.7
-0.06599999999999984,16.7,29.0,45.1,61.3,82.4,116.4,148.2,187.8,220.4,262.5,290.5,313.0,326.7,340.2
-0.06534999999999958,15.8,28.6,44.8,62.6,84.9,120.7,150.8,192.8,226.3,262.5,300.5,319.0,330.5,344.2
-0.06469999999999931,17.4,32.0,48.2,66.1,89.3,122.6,156.4,193.4,233.0,268.3,305.7,325.0,337.4,352.8
-0.06404999999999994,17.3,32.6,46.2,64.9,93.1,125.7,158.9,199.2,236.9,273.1,313.2,329.5,342.4,359.9
-0.06339999999999968,12.9,28.1,47.7,67.4,93.9,128.5,162.4,202.4,241.8,275.5,313.6,333.9,349.3,369.2
-0.06274999999999942,13.1,32.4,50.5,69.1,91.4,127.7,168.1,205.4,240.7,277.7,318.5,342.5,355.7,375.6
-0.062100000000000044,15.1,32.1,51.2,71.9,100.2,136.4,174.2,211.8,245.9,290.1,322.7,347.5,362.7,381.3
-0.06144999999999978,16.8,34.9,54.6,76.2,104.4,138.5,177.1,218.4,253.2,294.8,328.5,353.0,365.5,386.8
-0.06079999999999952,17.9,31.2,53.4,76.5,107.8,142.4,178.2,219.0,258.8,298.1,339.5,359.9,374.9,390.9
-0.06014999999999926,19.1,38.9,56.8,78.5,109.1,145.3,186.6,223.0,265.0,305.9,344.8,365.9,383.8,398.8
-0.059499999999999886,19.9,38.1,57.4,81.6,115.3,149.3,194.3,233.6,271.6,313.3,350.4,373.3,391.5,409.6
-0.058849999999999625,18.2,37.5,58.2,86.2,119.3,155.9,198.2,239.0,275.4,323.8,356.1,383.3,396.0,418.5
-0.05819999999999936,16.1,38.3,60.1,82.5,119.1,158.0,198.5,240.8,278.7,325.5,361.5,388.2,400.6,420.0
-0.05754999999999999,21.4,38.3,64.4,85.5,121.0,163.7,205.2,247.7,292.2,329.6,370.2,397.9,410.1,433.3
-0.05689999999999973,24.2,43.1,67.9,95.3,132.2,171.4,210.2,260.1,299.4,342.9,385.1,407.2,421.2,444.9
-0.05624999999999947,19.7,42.4,68.3,99.5,131.3,179.0,215.3,265.3,307.5,348.4,391.0,411.8,428.5,451.8
-0.055599999999999206,20.4,42.9,68.5,103.8,136.7,181.2,224.2,268.1,315.2,359.4,396.4,421.7,439.8,458.6
-0.05494999999999983,20.9,43.4,69.7,106.9,142.4,187.1,230.2,277.2,318.3,367.0,405.7,430.5,450.5,472.9
-0.05429999999999957,25.0,45.7,74.8,106.8,149.6,191.4,237.5,287.5,328.2,375.1,418.3,443.5,461.6,487.0
-0.05364999999999931,24.5,48.7,75.8,111.2,149.5,196.4,246.2,294.4,335.6,387.0,429.8,453.1,468.5,498.7
-0.052999999999999936,23.2,48.6,78.6,114.9,157.1,203.2,252.9,303.5,343.7,398.5,443.4,463.7,481.4,513.0
-0.052349999999999675,20.3,50.0,80.5,120.1,165.3,209.3,262.5,313.9,363.0,410.4,453.8,480.4,497.4,527.1
-0.05169999999999941,22.3,50.4,78.0,122.7,171.7,217.5,270.0,322.3,373.2,420.9,468.0,497.3,511.8,539.4
-0.05105000000000004,21.2,53.0,82.4,129.7,176.2,228.4,278.9,331.2,385.3,432.6,480.3,511.3,526.4,554.0
-0.05039999999999978,23.7,53.8,87.3,132.5,182.9,234.5,286.8,341.3,393.9,447.5,496.0,523.2,539.9,573.9
-0.04974999999999952,30.6,58.5,94.5,140.0,193.2,249.0,301.5,356.0,409.3,461.3,512.4,537.7,563.7,590.4
-0.049099999999999255,28.7,59.4,99.9,142.1,195.1,253.9,308.3,367.1,423.2,474.2,523.6,553.7,575.7,604.4
-0.04844999999999988,27.3,60.4,102.7,146.7,205.4,262.1,319.8,382.4,439.1,490.8,538.4,573.5,590.1,627.5
-0.04779999999999962,28.9,63.3,104.2,155.4,210.2,270.0,331.6,393.1,449.6,506.2,558.2,590.0,606.1,645.9
-0.04714999999999936,25.9,60.5,106.9,159.7,216.6,277.1,339.4,403.0,458.6,517.2,577.8,601.7,626.8,664.3
-0.046499999999999986,31.1,69.1,111.7,170.8,228.6,294.3,353.4,417.1,480.0,539.5,594.0,627.3,648.3,686.3
-0.045849999999999724,28.2,67.8,115.4,174.0,236.4,302.9,363.8,433.3,490.3,553.8,609.6,644.1,666.3,707.6
-0.04519999999999946,29.7,72.0,120.3,180.6,248.7,315.0,380.5,451.5,511.8,576.3,637.4,666.7,694.1,735.0
-0.0445499999999992,32.0,71.6,124.6,186.5,258.9,325.4,395.2,468.6,530.0,597.3,658.2,694.9,718.9,764.8
-0.04389999999999983,41.8,77.9,132.7,199.4,271.0,343.9,412.0,490.8,560.3,625.6,685.8,721.6,741.4,787.3
-0.04324999999999957,39.4,77.7,134.4,203.6,279.0,354.6,430.7,503.9,575.0,646.7,709.6,748.6,770.6,819.5
-0.042599999999999305,35.9,80.1,138.9,209.7,288.0,372.1,450.1,526.4,597.3,675.2,738.3,784.2,805.2,855.8
-0.04194999999999993,36.3,82.9,147.9,220.2,301.8,384.8,463.9,541.5,616.4,693.7,761.0,801.0,831.7,878.8
-0.04129999999999967,33.3,84.7,152.6,225.2,310.8,398.2,480.8,565.6,639.3,721.3,788.8,831.8,860.2,913.6
-0.04064999999999941,42.8,89.9,156.6,236.0,325.4,413.0,500.1,586.3,665.9,749.5,819.3,859.5,893.7,944.7
-0.040000000000000036,41.8,91.6,163.4,247.6,338.9,429.5,517.1,605.0,690.8,775.5,847.4,890.4,920.7,977.4
-0.039349999999999774,46.9,104.3,177.2,264.4,355.8,454.1,542.1,636.5,722.1,806.6,884.1,929.5,962.4,1017.8
-0.03869999999999951,41.4,101.1,180.3,268.2,366.1,463.7,561.6,656.9,743.5,836.8,913.4,963.2,993.7,1057.1
-0.03804999999999925,45.8,107.2,186.5,279.8,379.7,478.6,582.4,683.5,772.6,863.7,948.3,995.9,1031.5,1096.0
-0.03739999999999988,48.0,111.8,192.9,292.0,401.7,505.3,608.4,717.3,811.7,908.5,987.4,1046.2,1078.0,1148.4
-0.036749999999999616,51.6,121.1,203.6,303.8,414.5,525.1,633.2,739.9,840.4,936.5,1027.6,1080.3,1115.6,1185.0
-0.036099999999999355,53.1,121.2,212.3,321.4,436.3,550.7,657.9,771.7,875.4,982.4,1075.6,1127.1,1168.3,1239.2
-0.03544999999999998,50.8,120.6,216.5,330.0,452.5,571.3,685.7,800.5,910.2,1019.2,1116.5,1169.5,1212.0,1288.5
-0.03479999999999972,54.3,127.9,224.9,348.6,475.8,596.1,716.7,842.8,959.1,1062.8,1165.6,1225.3,1265.7,1346.9
-0.03414999999999946,55.0,133.2,236.1,360.9,488.7,616.6,745.7,872.1,988.9,1102.4,1206.6,1272.3,1309.9,1394.9
-0.0334999999999992,58.6,138.6,248.3,373.2,509.1,640.4,773.5,903.5,1023.7,1143.4,1251.6,1313.7,1361.8,1444.8
-0.032849999999999824,59.3,139.9,256.3,388.4,530.4,671.1,804.9,947.2,1072.1,1197.8,1309.1,1378.8,1423.3,1513.5
-0.03219999999999956,63.8,148.6,267.7,406.2,555.3,703.5,841.5,983.9,1116.1,1244.5,1362.9,1431.8,1483.3,1577.1
-0.0315499999999993,61.0,151.1,275.3,419.7,575.1,722.8,873.6,1019.4,1158.4,1293.8,1411.1,1487.9,1540.3,1634.5
-0.030899999999999928,62.9,161.4,289.1,440.5,599.9,759.5,911.0,1061.5,1206.2,1349.9,1477.4,1548.4,1600.6,1700.5
-0.030249999999999666,68.3,166.0,302.2,458.4,624.5,787.6,943.3,1104.8,1253.1,1400.1,1530.9,1610.8,1662.0,1767.7
-0.029599999999999405,69.2,175.2,315.5,478.1,652.9,823.1,985.0,1156.8,1307.9,1460.9,1597.0,1678.3,1742.9,1845.7
-0.02895000000000003,76.4,186.2,330.2,498.2,678.2,855.1,1026.1,1200.0,1357.9,1514.0,1651.7,1743.4,1801.5,1908.5
-0.02829999999999977,79.9,195.5,342.9,519.7,710.6,895.0,1068.8,1248.5,1418.3,1582.0,1722.2,1816.3,1878.9,1994.1
-0.02764999999999951,80.4,199.7,360.0,541.4,738.2,929.6,1118.0,1306.1,1481.2,1648.8,1794.7,1896.5,1961.3,2077.4
-0.026999999999999247,82.9,205.0,375.9,567.0,770.0,972.7,1162.4,1358.3,1539.4,1717.9,1881.6,1972.7,2039.9,2170.6
-0.026349999999999874,86.8,216.4,388.4,586.4,798.5,1007.2,1209.2,1410.9,1600.0,1782.7,1947.1,2051.6,2111.9,2247.1
-0.025699999999999612,88.5,224.6,399.3,606.4,827.6,1043.1,1250.6,1455.0,1653.0,1842.2,2023.5,2128.7,2198.5,2340.0
-0.02504999999999935,90.1,235.2,417.6,634.4,864.8,1088.8,1302.2,1527.0,1726.8,1927.4,2109.1,2217.5,2291.2,2437.3
-0.024399999999999977,96.1,241.7,437.1,658.7,897.5,1130.7,1355.5,1586.8,1797.5,2007.4,2178.1,2292.8,2369.0,2521.9
-0.023749999999999716,99.5,252.3,452.9,686.2,936.2,1180.4,1415.8,1652.8,1873.8,2093.4,2277.7,2397.0,2474.6,2634.7
